.001,.042
.002,.088
.003,.14
.004,.222
.005,.247
.006,.247
.007,.26
.008,.275
.009,.28
.010,.28
.020,.314
.040,.326
.1,.327
.3,.33
.5,.319
.6,.324
1,.323
2,.322
3,.315
10,.312
50,.312
80,.311
90,.309
150,.302
170,.298
200,.294
220,.294
250,.287
300,.278
350,.275
400,.26
420,.252
450,.248
500,.239
550,.230
570,.224
600,.217
620,.212
650,.209
720,.197
770,.191
850,.183
900,.174
950,.168
1000,.160
1050,.155
1100,.149
1200,.143
1250,.135
1300,.132
1350,.129
1400,.124
1450,.121
1550,.116
1600,.113
1700,.108
1800,.103
2000,.095
2100,.089
2200,.086
2300,.082
2400,.079
2500,.077
