.010,.37
.020,.475
.030,.640
.040,.74
.050,.830
.060,1.005
.070,1.125
.080,1.28
.090,1.455
.100,1.57
.120,1.88
.130,2.06
.140,2.145
.150,2.32
.160,2.49
.170,2.605
.180,2.72
.190,2.86
.200,3.005
.220,3.23
.250,3.59
.270,3.84
.290,4.02
.310,4.19
.330,4.43
.350,4.58
.400,4.99
.450,5.29
.500,5.61
.550,5.80
.600,5.96
.650,6.26
.700,6.44
.750,6.54
.800,6.64
.900,6.8
1,6.9
1.5,7.26
2,7.42
3,7.50
6,7.66
7,7.66
10,7.66
20,7.66
250,7.50
300,7.36
350,7.22
400,7.06
500,6.8
600,6.4
700,5.94
800,5.72
900,5.42
1000,5.18
1100,4.21
1200,4.52
1300,4.33
1400,4.06
1500,3.89
1600,3.69
1700,3.51
1800,3.37
1900,3.23
2000,3.13
2100,3
2200,2.86
2300,2.72
2400,2.61
2500,2.52
2600,2.43
2700,2.37
2800,2.21
3000,2.1
3500,1.83
4000,1.59
5000,1.22
6000,1.05
7000,.76
